浓度值,375nm,405nm,450nm,A405_A375,A450_A405,A450_A375,A405_minus_A375,A450_minus_A405,A_sum
0.2,1.2194,0.12166,1.0392,0.09968862667977713,8.472199576063915,0.8515240904621435,-1.09774,0.9175399999999999,2.38026
0.2,1.225,0.12188,1.0416,0.09941272430668842,8.4765625,0.8495921696574226,-1.10312,0.9197200000000001,2.3884800000000004
0.2,1.236,0.12219,1.0412,0.09877930476960388,8.451984739021023,0.8417138237671786,-1.11381,0.9190099999999999,2.39939
0.25,0.9433,0.063,1.0032,0.06671608598962193,15.675,1.062374245472837,-0.8803000000000001,0.9402000000000001,2.0095
0.25,0.9611,0.06342,1.0014,0.065918303710633,15.54486184414778,1.040848144683505,-0.8976799999999999,0.93798,2.02592
0.25,0.953,0.06356,1.0027,0.06662473794549267,15.531288723667902,1.0510482180293501,-0.88944,0.9391399999999999,2.01926
0.3,0.7915,0.02344,0.9876,0.029577287066246054,40.40916530278233,1.2461829652996845,-0.76806,0.96416,1.80254
0.3,0.7956,0.02358,0.9872,0.029600803414511677,40.16273393002441,1.239266884258097,-0.7720199999999999,0.9636199999999999,1.8063799999999999
0.3,0.7937,0.02362,0.9868,0.029721907638102427,40.08123476848091,1.2417264376494275,-0.77008,0.96318,1.80412
0.0,0.1747,0.06266,0.6889,0.35663062037564025,10.821551994973296,3.920887877063176,-0.11204,0.6262399999999999,0.92626
0.0,0.1752,0.06348,0.6917,0.36027241770715096,10.727357320099255,3.9256526674233827,-0.11172,0.62822,0.93038
0.0,0.1615,0.06363,0.6931,0.3915692307692308,10.724121924802724,4.26523076923077,-0.09787,0.6294700000000001,0.9182300000000001
0.0,0.1636,0.08873,0.6937,0.5390643985419198,7.730970689847319,4.214459295261239,-0.07486999999999999,0.60497,0.9460299999999999
0.0,0.1644,0.0901,0.6934,0.5447400241837969,7.611416026344676,4.192261185006046,-0.07429999999999999,0.6033000000000001,0.9479
0.0473,0.1411,0.02657,0.06412,0.18698099929627024,2.3257163583605367,0.45123152709359604,-0.11453,0.03755,0.23179
0.0473,0.1445,0.02671,0.0636,0.18357388316151205,2.295200288704439,0.4371134020618557,-0.11778999999999999,0.036890000000000006,0.23481000000000002
0.0473,0.1375,0.02689,0.06306,0.19415162454873644,2.2610254571531017,0.4553068592057762,-0.11061000000000001,0.03617000000000001,0.22745
0.0473,0.138,0.02687,0.0625,0.19330935251798562,2.242554718335127,0.44964028776978415,-0.11113,0.035629999999999995,0.22737000000000002
0.0473,0.1401,0.02677,0.06234,0.18972360028348687,2.2448685631976955,0.4418143160878809,-0.11333,0.035570000000000004,0.22921
0.0685,0.119,0.01879,0.06166,0.15658333333333335,3.115715007579585,0.5138333333333334,-0.10021,0.04287,0.19945
0.0685,0.121,0.02248,0.0618,0.1842622950819672,2.632027257240204,0.5065573770491804,-0.09852,0.03932,0.20528
0.0685,0.1217,0.0226,0.06156,0.18418907905460472,2.6084745762711865,0.5017114914425428,-0.09910000000000001,0.038959999999999995,0.20586000000000002
0.0685,0.1131,0.02012,0.06159,0.1763365468886941,2.9161931818181817,0.5397896581945661,-0.09298000000000001,0.04147,0.19481
0.0685,0.1227,0.02133,0.0615,0.17243330638641874,2.7541424093148232,0.4971705739692805,-0.10137,0.04017,0.20553
0.1052,0.0656,0.00951,0.04564,0.14279279279279278,4.342530922930543,0.6852852852852852,-0.05609000000000001,0.03613,0.12075000000000001
0.1052,0.0642,0.00966,0.04594,0.148159509202454,4.309568480300188,0.7046012269938651,-0.05453999999999999,0.03628,0.11979999999999999
0.1052,0.0652,0.00972,0.04603,0.14682779456193354,4.293843283582089,0.6953172205438067,-0.055479999999999995,0.03631,0.12094999999999999
0.1052,0.0624,0.00975,0.04611,0.15378548895899055,4.289302325581396,0.7272870662460568,-0.052649999999999995,0.036359999999999996,0.11825999999999999
0.1052,0.0636,0.01072,0.0461,0.16594427244582044,3.933447098976109,0.7136222910216719,-0.05288,0.03538,0.12042
0.229,0.0305,0.00078,0.04295,0.024761904761904763,24.12921348314607,1.3634920634920635,-0.02972,0.04217,0.07423
0.229,0.0305,0.00061,0.0434,0.019365079365079363,26.956521739130437,1.3777777777777778,-0.02989,0.04279,0.07450999999999999
0.229,0.0241,0.00062,0.0436,0.024701195219123506,26.913580246913583,1.7370517928286853,-0.02348,0.04298,0.06831999999999999
0.229,0.0244,0.00093,0.04366,0.03661417322834645,22.621761658031087,1.7188976377952754,-0.02347,0.04273,0.06899
0.229,0.0206,0.00118,0.04373,0.05462962962962963,20.059633027522935,2.024537037037037,-0.01942,0.04255,0.06551
